-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 5:48:01 PM     4/8/2021 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 1247
  Max.    Elevation: 3007
  Mean.   Elevation: 1547.28933906696
  Std.    Deviation: 243.740436231368

                    Elevation          % Area Below Elevation         % Area Watershed

                    1247                     0                         0
                    1256                     0                         0
                    1257                     0                         0
                    1258                     0                         0
                    1261                     0                         0
                    1262                     0                         0
                    1264                     0                         0
                    1265                     0                         0
                    1266                     0                         0
                    1267                     0                         0
                    1268                     0                         0
                    1269                     0                         0
                    1270                     0                         0
                    1271                     .01                      .01
                    1272                     .02                      .01
                    1273                     .04                      .02
                    1274                     .08                      .04
                    1275                     .17                      .08
                    1276                     .3                       .13
                    1277                     .48                      .18
                    1278                     1.33                      .85
                    1279                     1.67                      .35
                    1280                     2.11                      .44
                    1281                     2.67                      .56
                    1282                     3.35                      .68
                    1283                     4.08                      .73
                    1284                     4.89                      .81
                    1285                     5.77                      .88
                    1286                     6.75                      .98
                    1287                     7.78                      1.02
                    1288                     8.75                      .97
                    1289                     9.65                      .9
                    1290                     10.47                     .82
                    1291                     11.19                     .72
                    1292                     11.82                     .62
                    1293                     12.37                     .56
                    1294                     12.87                     .5
                    1295                     13.32                     .45
                    1296                     13.74                     .42
                    1297                     14.12                     .38
                    1298                     14.49                     .37
                    1299                     14.83                     .33
                    1300                     15.13                     .3
                    1301                     15.41                     .28
                    1302                     15.67                     .26
                    1303                     15.91                     .25
                    1304                     16.17                     .25
                    1305                     16.42                     .26
                    1306                     16.68                     .26
                    1307                     16.96                     .27
                    1308                     17.23                     .27
                    1309                     17.51                     .28
                    1310                     17.78                     .27
                    1311                     18.04                     .26
                    1312                     18.31                     .26
                    1313                     18.57                     .26
                    1314                     18.83                     .26
                    1315                     19.1                      .26
                    1316                     19.34                     .25
                    1317                     19.58                     .24
                    1318                     19.83                     .25
                    1319                     20.08                     .25
                    1320                     20.35                     .27
                    1321                     20.62                     .27
                    1322                     20.89                     .27
                    1323                     21.15                     .26
                    1324                     21.4                      .25
                    1325                     21.66                     .26
                    1326                     21.91                     .25
                    1327                     22.16                     .25
                    1328                     22.4                      .24
                    1329                     22.63                     .24
                    1330                     22.85                     .22
                    1331                     23.08                     .23
                    1332                     23.31                     .23
                    1333                     23.53                     .22
                    1334                     23.74                     .21
                    1335                     23.94                     .2
                    1336                     24.14                     .2
                    1337                     24.33                     .19
                    1338                     24.51                     .18
                    1339                     24.69                     .18
                    1340                     24.86                     .18
                    1341                     25.05                     .18
                    1342                     25.23                     .18
                    1343                     25.41                     .18
                    1344                     25.58                     .17
                    1345                     25.76                     .18
                    1346                     25.93                     .17
                    1347                     26.11                     .17
                    1348                     26.27                     .17
                    1349                     26.43                     .16
                    1350                     26.6                      .17
                    1351                     26.77                     .17
                    1352                     26.93                     .16
                    1353                     27.09                     .16
                    1354                     27.25                     .16
                    1355                     27.42                     .17
                    1356                     27.58                     .16
                    1357                     27.75                     .17
                    1358                     27.92                     .18
                    1359                     28.11                     .18
                    1360                     28.28                     .18
                    1361                     28.47                     .19
                    1362                     28.65                     .18
                    1363                     28.85                     .2
                    1364                     29.05                     .2
                    1365                     29.26                     .2
                    1366                     29.46                     .2
                    1367                     29.67                     .21
                    1368                     29.88                     .21
                    1369                     30.09                     .21
                    1370                     30.29                     .2
                    1371                     30.49                     .21
                    1372                     30.69                     .2
                    1373                     30.9                      .21
                    1374                     31.12                     .21
                    1375                     31.34                     .22
                    1376                     31.56                     .22
                    1377                     31.77                     .22
                    1378                     31.99                     .21
                    1379                     32.2                      .21
                    1380                     32.4                      .2
                    1381                     32.61                     .21
                    1382                     32.8                      .2
                    1383                     33.01                     .2
                    1384                     33.21                     .2
                    1385                     33.41                     .21
                    1386                     33.61                     .2
                    1387                     33.81                     .2
                    1388                     34.03                     .21
                    1389                     34.22                     .2
                    1390                     34.42                     .19
                    1391                     34.61                     .2
                    1392                     34.82                     .2
                    1393                     35.02                     .21
                    1394                     35.23                     .2
                    1395                     35.42                     .19
                    1396                     35.61                     .19
                    1397                     35.8                      .19
                    1398                     35.99                     .19
                    1399                     36.2                      .21
                    1400                     36.41                     .21
                    1401                     36.61                     .2
                    1402                     36.81                     .2
                    1403                     37.01                     .2
                    1404                     37.22                     .21
                    1405                     37.42                     .2
                    1406                     37.63                     .21
                    1407                     37.85                     .22
                    1408                     38.07                     .22
                    1409                     38.29                     .22
                    1410                     38.51                     .22
                    1411                     38.71                     .2
                    1412                     38.92                     .21
                    1413                     39.14                     .21
                    1414                     39.35                     .22
                    1415                     39.56                     .21
                    1416                     39.75                     .19
                    1417                     39.95                     .2
                    1418                     40.13                     .19
                    1419                     40.33                     .2
                    1420                     40.53                     .2
                    1421                     40.72                     .19
                    1422                     40.9                      .18
                    1423                     41.08                     .18
                    1424                     41.25                     .18
                    1425                     41.43                     .18
                    1426                     41.61                     .17
                    1427                     41.79                     .18
                    1428                     41.97                     .18
                    1429                     42.14                     .17
                    1430                     42.32                     .17
                    1431                     42.49                     .17
                    1432                     42.66                     .17
                    1433                     42.82                     .17
                    1434                     42.99                     .17
                    1435                     43.16                     .17
                    1436                     43.32                     .16
                    1437                     43.47                     .16
                    1438                     43.64                     .16
                    1439                     43.8                      .16
                    1440                     43.95                     .16
                    1441                     44.11                     .16
                    1442                     44.27                     .16
                    1443                     44.42                     .15
                    1444                     44.58                     .16
                    1445                     44.74                     .15
                    1446                     44.89                     .15
                    1447                     45.04                     .15
                    1448                     45.2                      .15
                    1449                     45.35                     .15
                    1450                     45.49                     .14
                    1451                     45.63                     .14
                    1452                     45.78                     .14
                    1453                     45.93                     .15
                    1454                     46.06                     .14
                    1455                     46.21                     .14
                    1456                     46.35                     .14
                    1457                     46.49                     .14
                    1458                     46.62                     .13
                    1459                     46.76                     .14
                    1460                     46.9                      .14
                    1461                     47.05                     .14
                    1462                     47.19                     .14
                    1463                     47.33                     .14
                    1464                     47.46                     .14
                    1465                     47.59                     .13
                    1466                     47.73                     .14
                    1467                     47.87                     .14
                    1468                     48                        .13
                    1469                     48.14                     .14
                    1470                     48.27                     .13
                    1471                     48.41                     .14
                    1472                     48.54                     .13
                    1473                     48.68                     .14
                    1474                     48.82                     .14
                    1475                     48.95                     .13
                    1476                     49.09                     .14
                    1477                     49.22                     .14
                    1478                     49.36                     .13
                    1479                     49.49                     .13
                    1480                     49.62                     .13
                    1481                     49.75                     .13
                    1482                     49.88                     .13
                    1483                     50.01                     .13
                    1484                     50.13                     .13
                    1485                     50.26                     .12
                    1486                     50.38                     .12
                    1487                     50.51                     .13
                    1488                     50.63                     .12
                    1489                     50.75                     .12
                    1490                     50.88                     .12
                    1491                     50.99                     .12
                    1492                     51.11                     .12
                    1493                     51.24                     .12
                    1494                     51.36                     .12
                    1495                     51.48                     .12
                    1496                     51.6                      .12
                    1497                     51.72                     .12
                    1498                     51.85                     .12
                    1499                     51.96                     .12
                    1500                     52.09                     .12
                    1501                     52.21                     .12
                    1502                     52.33                     .12
                    1503                     52.46                     .12
                    1504                     52.57                     .12
                    1505                     52.7                      .12
                    1506                     52.82                     .12
                    1507                     52.94                     .13
                    1508                     53.06                     .12
                    1509                     53.19                     .12
                    1510                     53.31                     .12
                    1511                     53.43                     .12
                    1512                     53.55                     .12
                    1513                     53.67                     .12
                    1514                     53.79                     .12
                    1515                     53.91                     .12
                    1516                     54.03                     .12
                    1517                     54.15                     .12
                    1518                     54.27                     .12
                    1519                     54.39                     .12
                    1520                     54.51                     .12
                    1521                     54.62                     .12
                    1522                     54.74                     .11
                    1523                     54.86                     .12
                    1524                     54.97                     .11
                    1525                     55.09                     .12
                    1526                     55.2                      .11
                    1527                     55.32                     .12
                    1528                     55.44                     .12
                    1529                     55.55                     .11
                    1530                     55.66                     .11
                    1531                     55.78                     .11
                    1532                     55.88                     .1
                    1533                     55.99                     .11
                    1534                     56.1                      .11
                    1535                     56.21                     .11
                    1536                     56.32                     .11
                    1537                     56.43                     .11
                    1538                     56.54                     .11
                    1539                     56.65                     .11
                    1540                     56.75                     .1
                    1541                     56.87                     .11
                    1542                     56.97                     .11
                    1543                     57.08                     .11
                    1544                     57.19                     .11
                    1545                     57.29                     .11
                    1546                     57.4                      .11
                    1547                     57.51                     .11
                    1548                     57.62                     .11
                    1549                     57.72                     .11
                    1550                     57.83                     .11
                    1551                     57.94                     .11
                    1552                     58.05                     .11
                    1553                     58.16                     .11
                    1554                     58.27                     .11
                    1555                     58.38                     .1
                    1556                     58.48                     .11
                    1557                     58.59                     .11
                    1558                     58.7                      .11
                    1559                     58.81                     .11
                    1560                     58.92                     .11
                    1561                     59.03                     .11
                    1562                     59.13                     .11
                    1563                     59.24                     .11
                    1564                     59.35                     .11
                    1565                     59.47                     .11
                    1566                     59.58                     .12
                    1567                     59.69                     .11
                    1568                     59.81                     .11
                    1569                     59.92                     .11
                    1570                     60.03                     .11
                    1571                     60.14                     .11
                    1572                     60.25                     .11
                    1573                     60.36                     .11
                    1574                     60.47                     .11
                    1575                     60.58                     .11
                    1576                     60.68                     .11
                    1577                     60.79                     .11
                    1578                     60.91                     .11
                    1579                     61.02                     .11
                    1580                     61.13                     .11
                    1581                     61.24                     .11
                    1582                     61.35                     .11
                    1583                     61.46                     .11
                    1584                     61.58                     .12
                    1585                     61.69                     .11
                    1586                     61.81                     .12
                    1587                     61.92                     .11
                    1588                     62.03                     .11
                    1589                     62.14                     .11
                    1590                     62.25                     .11
                    1591                     62.36                     .11
                    1592                     62.47                     .11
                    1593                     62.58                     .11
                    1594                     62.7                      .11
                    1595                     62.81                     .11
                    1596                     62.92                     .11
                    1597                     63.02                     .11
                    1598                     63.13                     .11
                    1599                     63.24                     .11
                    1600                     63.35                     .11
                    1601                     63.46                     .11
                    1602                     63.56                     .11
                    1603                     63.68                     .11
                    1604                     63.79                     .11
                    1605                     63.9                      .11
                    1606                     64.01                     .1
                    1607                     64.12                     .11
                    1608                     64.22                     .11
                    1609                     64.34                     .11
                    1610                     64.45                     .11
                    1611                     64.56                     .11
                    1612                     64.67                     .11
                    1613                     64.77                     .11
                    1614                     64.89                     .11
                    1615                     65                        .11
                    1616                     65.11                     .11
                    1617                     65.22                     .11
                    1618                     65.34                     .11
                    1619                     65.45                     .11
                    1620                     65.57                     .12
                    1621                     65.68                     .11
                    1622                     65.8                      .11
                    1623                     65.91                     .11
                    1624                     66.02                     .11
                    1625                     66.14                     .11
                    1626                     66.24                     .11
                    1627                     66.36                     .12
                    1628                     66.48                     .12
                    1629                     66.59                     .11
                    1630                     66.71                     .12
                    1631                     66.82                     .12
                    1632                     66.93                     .11
                    1633                     67.05                     .12
                    1634                     67.17                     .12
                    1635                     67.29                     .12
                    1636                     67.41                     .12
                    1637                     67.52                     .11
                    1638                     67.64                     .11
                    1639                     67.76                     .12
                    1640                     67.87                     .12
                    1641                     67.99                     .12
                    1642                     68.11                     .11
                    1643                     68.23                     .12
                    1644                     68.34                     .12
                    1645                     68.46                     .12
                    1646                     68.58                     .12
                    1647                     68.7                      .12
                    1648                     68.82                     .12
                    1649                     68.94                     .12
                    1650                     69.05                     .12
                    1651                     69.17                     .12
                    1652                     69.29                     .12
                    1653                     69.4                      .12
                    1654                     69.51                     .11
                    1655                     69.63                     .11
                    1656                     69.75                     .12
                    1657                     69.86                     .12
                    1658                     69.98                     .12
                    1659                     70.1                      .12
                    1660                     70.22                     .12
                    1661                     70.34                     .12
                    1662                     70.47                     .12
                    1663                     70.58                     .12
                    1664                     70.7                      .12
                    1665                     70.82                     .12
                    1666                     70.93                     .12
                    1667                     71.05                     .11
                    1668                     71.17                     .12
