Subbasin	E1	E2	E3	E4	E5
1	1599.2	1761.6	1924	2086.4	2248.8
2	1625.3	1827.9	2030.5	2233.1	2435.7
3	1495.4	1678.2	1861	2043.8	2226.6
4	1485.5	1648.5	1811.5	1974.5	2137.5
5	1372.8	1544.4	1716	1887.6	2059.2
6	1350.2	1484.6	1619	1753.4	1887.8
8	1457.7	1599.1	1740.5	1881.9	2023.3
12	1463.5	1648.5	1833.5	2018.5	2203.5
15	1542.7	1806.1	2069.5	2332.9	2596.3
19	1549.7	1825.1	2100.5	2375.9	2651.3
23	1413.9	1609.7	1805.5	2001.3	2197.1
27	1415.9	1627.7	1839.5	2051.3	2263.1
31	1620.1	1928.3	2236.5	2544.7	2852.9
33	1605.8	1885.4	2165	2444.6	2724.2
37	1405.8	1523.4	1641	1758.6	1876.2
38	1348.7	1474.1	1599.5	1724.9	1850.3
39	1377.9	1497.7	1617.5	1737.3	1857.1
50	1486.9	1610.7	1734.5	1858.3	1982.1
59	1351	1481	1611	1741	1871
60	1349.4	1490.2	1631	1771.8	1912.6
61	1337.7	1455.1	1572.5	1689.9	1807.3
62	1362.4	1507.2	1652	1796.8	1941.6
65	1426.9	1556.7	1686.5	1816.3	1946.1
67	1364.3	1486.9	1609.5	1732.1	1854.7
68	1457.2	1587.6	1718	1848.4	1978.8
69	1390.9	1574.7	1758.5	1942.3	2126.1
70	1381.4	1580.2	1779	1977.8	2176.6
71	1455.3	1581.9	1708.5	1835.1	1961.7
72	1380.6	1543.8	1707	1870.2	2033.4
73	1333.6	1446.8	1560	1673.2	1786.4
74	1424.1	1574.3	1724.5	1874.7	2024.9
76	1392.3	1506.9	1621.5	1736.1	1850.7
77	1514.8	1666.4	1818	1969.6	2121.2
78	1481.1	1615.3	1749.5	1883.7	2017.9
79	1517.9	1667.7	1817.5	1967.3	2117.1
81	1479.2	1635.6	1792	1948.4	2104.8
83	1480.8	1622.4	1764	1905.6	2047.2
84	1643	1785	1927	2069	2211
85	1520.4	1697.2	1874	2050.8	2227.6
86	1459.2	1655.6	1852	2048.4	2244.8
87	1650.7	1808.1	1965.5	2122.9	2280.3
88	1523	1705	1887	2069	2251
