sim_no   goal_mmse    goal_smse    goal_r2    goal_chi2    goal_ns    goal_br2    goal_ssqr    goal_pbias    goal_kge    goal_rsr    goal_mns
1     7397.349121  91.719498   0.624166   44.961506   0.563601   0.362141   26.452745   27.231529   0.564509   0.660597   0.460694
2     6188.137207  84.350937   0.659216   41.103119   0.600871   0.427757   23.222799   27.445496   0.609792   0.631764   0.491543
3     13560.368164  126.971405   0.514456   60.842804   0.408432   0.342394   23.418316   27.809702   0.591772   0.768894   0.371800
4     21999.386719  165.474533   0.427787   77.698883   0.243348   0.278107   26.926908   27.889992   0.547550   0.868676   0.296479
5     10633.320313  110.404922   0.536209   53.885918   0.476808   0.298767   26.650290   27.730495   0.545046   0.723320   0.400996
6     27201.654297  181.805527   0.225075   86.251495   0.160737   0.052036   73.424088   28.122625   0.197308   0.915442   0.156359
7     8386.109375  97.643600   0.590633   47.872902   0.535348   0.341361   24.855492   26.692390   0.566989   0.681645   0.436705
8     19924.304688  151.533661   0.364972   73.749023   0.283797   0.091923   84.608566   25.072796   0.249807   0.846279   0.247076
9     15347.210938  137.066925   0.494138   64.815697   0.369156   0.330373   23.727871   27.323032   0.586563   0.793535   0.343310
10     24013.865234  169.183411   0.284758   80.972176   0.212643   0.061886   88.996292   26.558453   0.188548   0.887017   0.188823
11     7153.466797  90.318687   0.630888   44.207760   0.570868   0.418781   20.611225   27.753731   0.615515   0.655079   0.456508
12     9047.156250  101.465569   0.594928   49.721428   0.517388   0.287569   41.282242   27.556419   0.482800   0.694696   0.434761
13     8749.327148  98.945862   0.580598   48.957359   0.525149   0.283739   34.123798   22.998060   0.511540   0.688997   0.428334
14     23189.316406  170.435593   0.415724   79.817627   0.222554   0.268609   25.830627   26.611652   0.547267   0.880361   0.291339
15     7559.628418  93.441513   0.617222   45.424599   0.558828   0.388988   22.219021   27.353729   0.598204   0.664196   0.456393
16     10659.160156  113.668709   0.536709   53.984901   0.474749   0.256494   37.541023   26.235394   0.486512   0.724251   0.399973
17     9680.391602  106.656761   0.568973   51.396454   0.500494   0.392098   14.644234   22.844257   0.648110   0.706648   0.413534
18     7436.291992  91.887192   0.621571   45.083832   0.562443   0.347019   29.570835   26.191748   0.553923   0.661469   0.473183
19     6434.314453  85.733124   0.648829   41.923294   0.593014   0.405322   23.345490   26.434786   0.600759   0.637953   0.482856
20     17044.207031  141.901169   0.396787   68.202957   0.337024   0.122443   62.851997   22.364204   0.327931   0.814054   0.271097
21     11109.071289  112.061020   0.548266   55.119511   0.465144   0.236770   47.406212   28.009975   0.435002   0.731308   0.386184
22     7498.941406  93.339615   0.625266   45.237251   0.560545   0.417537   21.313305   28.064302   0.613771   0.662880   0.452542
23     8933.796875  100.221130   0.579372   49.449745   0.520273   0.300780   32.286327   26.525509   0.521488   0.692563   0.428299
24     14280.848633  131.833374   0.511813   62.500702   0.391809   0.348973   22.986771   27.608479   0.594059   0.779266   0.360256
25     10823.504883  112.266983   0.539276   54.346329   0.472008   0.323493   23.341560   27.895729   0.571128   0.726581   0.401397
26     10841.416992  114.038765   0.559083   54.418129   0.470728   0.383711   21.393486   26.803890   0.616592   0.727172   0.403708
27     12072.611328  119.816460   0.508220   57.408539   0.441819   0.222987   42.367500   27.138195   0.446992   0.746879   0.365837
28     20706.933594  160.359528   0.438057   75.367767   0.266103   0.286827   25.225510   26.968201   0.559288   0.855570   0.304180
29     7579.725098  92.937172   0.600564   45.507469   0.558265   0.360338   19.631180   22.875118   0.605620   0.664628   0.450066
30     8729.066406  102.392120   0.602488   48.832203   0.525036   0.416843   20.569662   28.033680   0.619788   0.688839   0.432647
31     9825.078125  106.969391   0.555187   51.779030   0.496948   0.254631   39.028557   22.774704   0.485183   0.709213   0.410835
32     15760.632813  139.548141   0.488883   65.726395   0.360093   0.334847   19.265417   23.213528   0.610341   0.799020   0.345054
33     12418.492188  122.814133   0.527808   58.276394   0.432955   0.352355   20.181723   26.004671   0.607302   0.752480   0.377454
34     15554.611328  138.992737   0.498361   65.322311   0.363919   0.339143   25.190147   27.936157   0.584778   0.796513   0.347638
35     21594.015625  157.929855   0.343646   76.772774   0.254367   0.078034   92.668152   25.972307   0.213634   0.863484   0.237294
36     6562.035645  86.467216   0.647308   42.342682   0.588987   0.417737   23.179516   27.675638   0.606117   0.641099   0.476968
37     29049.167969  187.002045   0.197819   89.090523   0.133394   0.036541   92.548569   27.926842   0.123993   0.930419   0.145759
38     34903.871094  200.014755   0.096698   97.629227   0.052099   0.007818   133.224289   23.257383   -0.039142   0.973602   0.115062
39     9129.096680  104.144852   0.581229   49.920609   0.514639   0.403744   15.906380   22.684231   0.652808   0.696468   0.429704
40     6405.152344  85.570801   0.651623   41.826775   0.593939   0.424637   22.001547   27.590910   0.610866   0.637229   0.479541
41     21196.175781  161.949127   0.434384   76.230743   0.257788   0.282448   26.805424   28.286915   0.549289   0.860491   0.301186
42     6270.298828  84.355804   0.638526   41.399910   0.598206   0.418922   16.531618   22.676968   0.646474   0.633860   0.473594
43     10671.876953  111.083931   0.536537   53.969780   0.475812   0.233588   42.347919   22.939224   0.462521   0.723991   0.391992
44     28023.357422  179.567780   0.222755   87.467148   0.150631   0.027932   127.006226   18.884718   0.071519   0.921607   0.145789
45     14671.778320  134.435181   0.504890   63.400795   0.382798   0.351629   18.731916   23.155090   0.619468   0.784782   0.353694
46     9092.740234  100.789429   0.585425   49.916637   0.515879   0.291839   36.754581   27.543850   0.497139   0.695676   0.426628
47     6282.172363  85.062393   0.658514   41.412086   0.597843   0.429790   23.786150   28.242765   0.606819   0.634153   0.489529
48     7502.565430  92.006241   0.617834   45.303257   0.560431   0.398088   21.967112   27.467669   0.606511   0.662963   0.447155
49     10937.537109  110.815605   0.556027   54.721352   0.469164   0.238988   48.670303   28.026773   0.432125   0.728512   0.391880
50     7627.525879  93.489326   0.613737   45.639320   0.556883   0.370375   23.261055   26.901848   0.583532   0.665670   0.453558
51     11140.317383  115.437401   0.555412   55.157406   0.463592   0.381674   20.208576   27.372520   0.612723   0.732095   0.396382
52     20150.064453  158.296021   0.446725   74.355820   0.275925   0.293958   27.463440   28.482981   0.554660   0.849792   0.310669
53     43541.382813  222.914963   0.016613   109.062370   -0.058720   0.000616   123.503891   26.257624   -0.155510   1.028939   0.056546
54     7384.375000  92.081703   0.606973   44.902580   0.564000   0.380225   17.589594   22.726847   0.624665   0.660301   0.454059
55     8327.374023  98.532570   0.599852   47.669083   0.536859   0.387815   21.533558   27.401819   0.605438   0.680493   0.441638
56     8941.444336  102.689163   0.584560   49.397766   0.519854   0.293333   36.715553   26.497684   0.504873   0.692789   0.424971
57     18698.130859  151.221146   0.452645   71.538193   0.303749   0.294896   23.868406   26.846783   0.568862   0.833677   0.313727
58     7569.626953  94.293282   0.623844   45.448803   0.558305   0.433135   19.130606   26.737892   0.634317   0.664502   0.448439
59     7438.730957  91.778900   0.608975   45.098778   0.562348   0.330948   26.972275   22.384953   0.562899   0.661532   0.450590
60     11870.298828  117.215553   0.526834   56.918335   0.447151   0.216378   50.945984   27.045208   0.418991   0.743517   0.365177
61     8554.099609  100.336075   0.596509   48.314758   0.530417   0.422100   14.598969   23.352020   0.657172   0.685143   0.430038
62     9032.439453  103.259735   0.595333   49.649174   0.517393   0.411310   20.291351   28.178707   0.618129   0.694553   0.425519
63     7072.276367  90.687378   0.635727   43.931023   0.573219   0.421141   21.307734   27.807648   0.613388   0.653247   0.463395
64     6480.899414  86.729652   0.639691   42.055176   0.591473   0.447133   15.053448   22.785782   0.667233   0.639133   0.466860
65     8020.036621  95.715828   0.601897   46.805038   0.545623   0.349304   26.479111   27.159946   0.566283   0.674074   0.426175
66     12230.320313  119.944778   0.496734   57.770939   0.438520   0.196400   48.980614   22.181644   0.423806   0.749195   0.332510
67     8020.173340  94.918221   0.610604   46.856392   0.545449   0.325446   32.987679   27.171028   0.527781   0.674140   0.454717
68     11645.286133  118.698059   0.542009   56.421303   0.451079   0.377392   16.259512   23.056463   0.637374   0.740419   0.390885
69     20678.310547  159.863739   0.438367   75.286827   0.267008   0.285870   25.985596   27.772600   0.554705   0.855158   0.310024
70     11958.609375  121.480316   0.494446   57.246914   0.442672   0.212171   43.750618   22.447084   0.455209   0.745710   0.362710
71     11359.418945  114.333130   0.538160   55.687965   0.459227   0.347847   22.647432   27.526356   0.596219   0.735368   0.395973
72     7151.217773  90.837524   0.629396   44.181576   0.570917   0.404482   22.226023   27.299530   0.606294   0.655035   0.457046
73     11101.992188  116.248718   0.556583   55.107788   0.463746   0.386414   19.401344   26.325150   0.620713   0.731728   0.399610
74     6014.110840  83.540222   0.663080   40.512459   0.606462   0.426973   22.168812   26.908455   0.610529   0.627299   0.498617
75     7260.213379  90.721786   0.608266   44.551140   0.567642   0.369264   19.704411   22.671509   0.612368   0.657523   0.455203
76     7913.981445  94.760719   0.606245   46.511208   0.548603   0.363414   24.880346   27.571918   0.576885   0.671847   0.448289
77     6172.712402  84.280190   0.645453   41.050812   0.601365   0.443007   15.594898   22.729954   0.663003   0.631371   0.479951
78     7403.305176  91.866661   0.622727   44.973892   0.563437   0.378470   24.808340   27.763681   0.581184   0.660726   0.461720
79     18945.347656  153.223099   0.457471   72.078178   0.298185   0.303177   26.132120   27.765442   0.565356   0.836711   0.315758
80     10917.905273  113.693741   0.550654   54.588547   0.469323   0.381810   15.431815   23.019039   0.641626   0.728294   0.399408
81     14639.199219  133.768707   0.500177   63.296898   0.383970   0.332714   22.571774   26.879654   0.591127   0.784191   0.352367
82     38665.273438  210.451111   0.052800   102.757645   0.002331   0.003438   123.577347   25.164127   -0.082046   0.998834   0.092421
83     18092.876953  149.513367   0.465096   70.421478   0.314384   0.307885   25.502254   27.919014   0.568230   0.827067   0.330541
84     17024.712891  144.911133   0.475481   68.302422   0.335051   0.318982   23.124645   26.127514   0.585339   0.814543   0.334505
