no_pars=  42
no_Sims=  200
Type_of_Obj_fn=  multiple
Sim_No.    r__CN2.mgt  v__ESCO.hru  v__HRU_SLP.hru  v__OV_N.hru  v__SLSUBBSN.hru  v__ALPHA_BF.gw  v__CH_N2.rte  v__CH_K2.rte  a__GWQMN.gw  a__GW_REVAP.gw  v__REVAPMN.gw  v__GW_DELAY.gw  v__GWQMN.gw  v__GW_REVAP.gw  v__ALPHA_BNK.rte  r__AUTO_EFF{[],11,AUTO_NSTRS=0.6}.mgt  r__CN2.mgt________1  r__SOL_AWC(1).sol________1  r__SOL_K(1).sol________1  r__SOL_BD(1).sol________1  a__GWQMN.gw________1  a__GW_REVAP.gw________1  v__REVAPMN.gw________1  a__ESCO.hru________1  r__HRU_SLP.hru________1  r__OV_N.hru________1  r__SLSUBBSN.hru________1  a__GWQMN.gw________3-6  a__GW_REVAP.gw________3-6  v__REVAPMN.gw________3-6  a__ESCO.hru________3-6  r__HRU_SLP.hru________3-6  r__OV_N.hru________3-6  r__SLSUBBSN.hru________3-6  r__CN2.mgt________7,12,15,16-20  a__GWQMN.gw________7,12,15,16-20  a__GW_REVAP.gw________7,12,15,16-20  v__REVAPMN.gw________7,12,15,16-20  a__ESCO.hru________7,12,15,16-20  r__HRU_SLP.hru________7,12,15,16-20  r__OV_N.hru________7,12,15,16-20  r__SLSUBBSN.hru________7,12,15,16-20 multi_goal_value
1      -0.1064   0.4075   0.0097   0.1532  90.2312   0.5575   0.2753  40.0250 486.0750   0.1437 350.7500  36.1625   1.3583  -0.0048  -0.0161   0.2902  -0.0972  -0.0545  -0.4372   0.0003   5.9105  -0.0545   7.1512   0.1209   0.1638  -0.1558   0.0483  11.6573  -0.0357   6.0883   0.1020   0.1305  -0.1032   0.1195   0.3970 -10.8240   0.0172  12.2425   0.0319   0.0487  -0.0854   0.1645  -4.163206
2      -0.0791   0.2775   0.0103   0.1769  90.4337   0.4575   0.2365  26.6750 177.3750   0.1388 491.7500  16.3875   1.3158  -0.0218   0.1529   0.2085  -0.1392   0.0295  -0.4778  -0.2681   3.3545  -0.0259   9.2137   0.1134   0.1495  -0.1318   0.1047  20.6045  -0.0587   2.9832   0.1524   0.2405  -0.1616   0.0015   0.3810  -1.0320   0.0230   8.1475  -0.0874   0.0300  -0.0636   0.1385  -3.299548
3      -0.0088   0.0975   0.0341   0.1285  91.3788   0.3725   0.1136  28.4750 334.1750   0.1047 238.2500 -36.7225   0.6612  -0.0363   0.1477   0.3109  -0.0192  -0.0965  -1.0043   0.0267   6.1235  -0.0383   7.0687   0.0076   0.1625  -0.1373   0.0351  20.1264  -0.0519   2.1207   0.0796   0.1395  -0.1829   0.1965   0.2910  -4.2960   0.0227  14.6725  -0.0806   0.0014   0.0181   0.1585  -6.361307
4      -0.0445   0.2525   0.0073   0.1229  91.4912   0.8175   0.1976  32.9750 238.6250   0.1817 203.7500 -17.5125   1.0692  -0.1034  -0.0239   0.1982  -0.1107  -0.0485  -0.6263   0.0333   1.9345  -0.0435   7.3713   0.0324   0.0949  -0.1953   0.0021  20.4680  -0.0509   5.7432   0.0772   0.2425  -0.1686   0.1485   0.4890  -1.9920   0.0031  14.1775   0.0596   0.0503  -0.0704   0.0795  -9.234337
5       0.0280   0.1925   0.0117   0.1760  89.8487   0.6275   0.1157  23.8250 133.2750   0.1367 212.7500  47.4625   1.8683  -0.0235  -0.0551   0.3040  -0.1093   0.0085  -1.0402   0.0223   1.2245  -0.0365   9.0763   0.1029   0.0559  -0.1013   0.0999   8.9253  -0.0561   3.4318   0.0500   0.2015  -0.1210   0.0625   0.2390  -3.3360   0.0211  11.8375  -0.0529   0.0223  -0.0606   0.0125  -5.733788
6      -0.0193   0.0675   0.0335   0.1634  93.4713   0.0375   0.2963  44.6750 419.9250   0.1157 401.7500  -7.9075   1.5197   0.0283  -0.0369   0.2315   0.0333   0.0595  -0.8783  -0.1845   0.3015  -0.0271   9.8187   0.0024   0.0826  -0.1308   0.0213  12.6135  -0.0539   6.8472   0.0188   0.1645  -0.1968   0.0175   0.3190 -14.8560   0.0062  15.8875  -0.0116   0.0124   0.0024   0.0845  -14.159753
7      -0.0676   0.6425   0.0113   0.1321  92.1212   0.8525   0.1420  20.0750 280.2750   0.1863 400.2500  39.5525   1.4093  -0.0380  -0.1045   0.2741   0.0437   0.0275  -0.8108  -0.1317   9.7445  -0.0379  10.8362   0.0069   0.0501  -0.1583   0.1149  19.0336  -0.0403   4.1563   0.0676   0.1415  -0.1503   0.0005   0.1250   1.6560   0.0035  10.1725   0.0244   0.1097   0.0399   0.1155  -4.473327
8       0.0164   0.5875   0.0011   0.1748  91.7162   0.6075   0.1147  39.8750 439.5250   0.1933 430.2500  -2.8225   1.4347   0.0198   0.0125   0.3385  -0.1558   0.0855  -0.8512  -0.0525  -1.4025  -0.0527   6.9313   0.0504   0.0988  -0.1273   0.0009  17.5310  -0.0303   4.0182   0.0580   0.2195  -0.1191   0.1725   0.4710  -3.9120   0.0269   7.5175  -0.0551   0.0520  -0.0614   0.0285  -11.616300
9       0.0206   0.3625   0.0263   0.1708  90.3887   0.6375   0.2081  23.3750 265.5750   0.1458 413.7500   9.0425   1.9108  -0.1000  -0.1383   0.3707   0.0182   0.0965  -0.5633   0.1037   6.6915  -0.0413   6.4363   0.0001   0.0845  -0.1258   0.0699  19.3069  -0.0443   7.2958   0.0612   0.2695  -0.1181   0.0605   0.2830  -3.7200   0.0215  11.7925  -0.0506   0.0135  -0.0111   0.0535  -6.920823
10     -0.0823   0.4825   0.0325   0.1561  89.6237   0.2925   0.2197  41.8250 429.7250   0.1793 439.2500 -15.8175   1.2392  -0.1136   0.0203   0.1752   0.0452   0.0925  -0.3968  -0.2263   6.9045  -0.0581   8.1138   0.0444   0.1430  -0.1673   0.0381  20.0581  -0.0417   2.3277   0.0548   0.1925  -0.1928   0.1445   0.1770  -2.9520   0.0097  11.4775  -0.0184   0.0536   0.0316   0.1835  -13.528149
