 FLOW_OUT_46
observed          L95PPU         U95PPU         Best_Sim       M95PPU
7.716400        2.003604        6.875130        6.688000        4.696164       
7.852300        4.326726        6.825501        6.235000        5.695246       
18.223700       10.553800       24.718718       16.120001       18.147795      
33.015999       15.704000       53.842464       34.119999       40.824902      
16.594700       14.551750       34.300037       37.180000       27.044146      
15.583200       1.980317        22.286798       14.360000       9.280181       
7.029300        0.760028        13.223571       4.072000        4.967532       
2.744100        0.246183        9.628219        1.230000        2.640998       
1.754400        0.360428        7.080151        0.568600        1.874260       
3.442100        0.322942        6.066249        0.468000        1.578001       
5.379200        4.050375        17.709316       10.780000       12.698446      
13.814300       4.006387        8.671183        9.440000        6.359520       
15.630200       8.667558        15.664259       14.580000       13.258559      
9.866100        6.807033        9.853273        9.202000        8.704571       
15.900800       10.666828       26.706837       16.790001       19.260216      
41.088001       15.057500       43.998695       30.540001       35.513592      
30.960400       4.658616        26.278402       29.410000       16.803720      
15.032800       4.640844        17.579750       10.170000       9.603445       
4.476800        0.361603        11.236015       2.961000        3.844434       
0.532300        0.223344        8.966374        0.949500        2.317410       
0.988000        0.162024        6.556410        0.452900        1.574203       
3.481200        0.360657        5.837365        0.458200        1.658936       
10.764400       3.180167        16.093065       9.148000        11.215211      
9.816800        5.743810        11.225688       11.860000       8.883426       
8.362100        6.958500        10.106144       10.000000       9.190229       
11.166000       8.930750        14.727798       12.590000       12.271175      
14.706200       9.247553        21.005957       13.490000       15.436550      
31.146000       13.347500       33.955544       27.139999       28.847702      
16.061800       7.468789        19.480858       21.200001       12.935143      
8.830800        0.609858        12.618519       6.738000        5.853195       
0.924800        0.284703        9.033520        2.226000        3.075601       
0.370500        0.184895        7.191250        0.773600        1.947684       
0.590800        0.174177        6.446700        0.385100        1.380893       
1.523600        0.160829        5.253330        0.240800        1.038854       
3.766800        0.361680        5.086095        0.891400        1.785857       
4.603700        0.118985        4.732329        0.804700        0.906375       
1.671600        1.612071        4.915699        4.371000        3.375180       
9.456800        3.336600        13.955898       8.467000        9.222115       
27.252001       9.064667        46.169239       25.900000       33.506252      
39.476101       9.278000        28.518661       31.660000       20.880024      
15.594000       2.092714        17.339867       14.130000       8.590643       
1.387700        0.462862        10.163200       3.444000        3.963795       
0.293400        0.203163        7.332201        1.047000        2.288052       
0.189600        0.145034        6.504542        0.466200        1.535756       
0.002300        0.198582        5.884625        0.255900        1.207242       
0.222000        0.320824        5.332800        0.957500        1.788679       
2.826600        1.109046        7.450785        3.996000        5.087685       
4.668000        2.728740        6.506344        6.616000        5.327531       
2.842700        3.287437        6.126500        5.140000        4.865664       
13.496500       4.317355        8.232402        6.802000        6.079584       
44.411999       8.142514        37.803146       17.600000       24.207487      
54.366501       8.922400        26.851387       30.389999       20.789213      
21.204000       0.650759        13.391768       9.313000        6.068922       
3.050300        0.685994        8.168424        2.592000        3.491322       
0.321300        0.365365        6.842800        1.034000        2.192899       
0.260000        0.133986        6.003125        0.528000        1.416683       
0.360000        0.172406        5.507225        0.246700        1.080762       
4.304000        0.726142        5.718822        2.553000        3.508611       
8.907100        1.595056        4.976500        3.270000        2.609485       
6.234800        2.792458        9.330705        5.084000        6.299086       
7.187100        3.900300        11.257478       10.670000       8.702862       
