Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_46     7.716400        2.003604        6.875130        6.688000       
FLOW_OUT_46     7.852300        4.326726        6.825501        6.235000       
FLOW_OUT_46     18.223700       10.553800       24.718718       16.120001      
FLOW_OUT_46     33.015999       15.704000       53.842464       34.119999      
FLOW_OUT_46     16.594700       14.551750       34.300037       37.180000      
FLOW_OUT_46     15.583200       1.980317        22.286798       14.360000      
FLOW_OUT_46     7.029300        0.760028        13.223571       4.072000       
FLOW_OUT_46     2.744100        0.246183        9.628219        1.230000       
FLOW_OUT_46     1.754400        0.360428        7.080151        0.568600       
FLOW_OUT_46     3.442100        0.322942        6.066249        0.468000       
FLOW_OUT_46     5.379200        4.050375        17.709316       10.780000      
FLOW_OUT_46     13.814300       4.006387        8.671183        9.440000       
FLOW_OUT_46     15.630200       8.667558        15.664259       14.580000      
FLOW_OUT_46     9.866100        6.807033        9.853273        9.202000       
FLOW_OUT_46     15.900800       10.666828       26.706837       16.790001      
FLOW_OUT_46     41.088001       15.057500       43.998695       30.540001      
FLOW_OUT_46     30.960400       4.658616        26.278402       29.410000      
FLOW_OUT_46     15.032800       4.640844        17.579750       10.170000      
FLOW_OUT_46     4.476800        0.361603        11.236015       2.961000       
FLOW_OUT_46     0.532300        0.223344        8.966374        0.949500       
FLOW_OUT_46     0.988000        0.162024        6.556410        0.452900       
FLOW_OUT_46     3.481200        0.360657        5.837365        0.458200       
FLOW_OUT_46     10.764400       3.180167        16.093065       9.148000       
FLOW_OUT_46     9.816800        5.743810        11.225688       11.860000      
FLOW_OUT_46     8.362100        6.958500        10.106144       10.000000      
FLOW_OUT_46     11.166000       8.930750        14.727798       12.590000      
FLOW_OUT_46     14.706200       9.247553        21.005957       13.490000      
FLOW_OUT_46     31.146000       13.347500       33.955544       27.139999      
FLOW_OUT_46     16.061800       7.468789        19.480858       21.200001      
FLOW_OUT_46     8.830800        0.609858        12.618519       6.738000       
FLOW_OUT_46     0.924800        0.284703        9.033520        2.226000       
FLOW_OUT_46     0.370500        0.184895        7.191250        0.773600       
FLOW_OUT_46     0.590800        0.174177        6.446700        0.385100       
FLOW_OUT_46     1.523600        0.160829        5.253330        0.240800       
FLOW_OUT_46     3.766800        0.361680        5.086095        0.891400       
FLOW_OUT_46     4.603700        0.118985        4.732329        0.804700       
FLOW_OUT_46     1.671600        1.612071        4.915699        4.371000       
FLOW_OUT_46     9.456800        3.336600        13.955898       8.467000       
FLOW_OUT_46     27.252001       9.064667        46.169239       25.900000      
FLOW_OUT_46     39.476101       9.278000        28.518661       31.660000      
FLOW_OUT_46     15.594000       2.092714        17.339867       14.130000      
FLOW_OUT_46     1.387700        0.462862        10.163200       3.444000       
FLOW_OUT_46     0.293400        0.203163        7.332201        1.047000       
