FROM_NODE	TO_NODE
1	3
2	3
3	7
4	7
5	9
6	9
7	11
8	11
9	14
10	14
11	37
12	37
13	18
14	20
15	18
16	20
17	16
18	22
19	22
20	42
21	42
22	34
23	26
24	34
25	16
26	30
27	29
28	29
29	41
30	41
31	32
32	24
33	32
34	36
35	36
36	39
37	39
38	30
39	26
40	0
41	46
42	0
43	47
44	35
45	46
46	48
47	52
48	49
49	47
50	24
51	40
52	53
53	54
54	51
55	51
56	55
57	58
58	52
59	60
60	57
61	53
62	60
63	55
64	57
65	35
66	67
67	49
68	66
69	64
70	58
71	66
72	64
73	54
74	67
75	73
76	73
77	75
78	74
79	75
80	76
81	80
82	80
83	74
84	83
85	82
86	76
87	83
88	82
